account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,spend,account_currency,reach,cpp,impressions,cpm,clicks,cpc,frequency,like,love,care,haha,wow,sad,angry,comment,onsite_conversion,post_reaction,post_engagement,page_engagement,date_start,date_stop
mr.Đạt,23847516148920237,"*Feaer ECO, LLTC, Kéo Shopee tuần lễ, Quốc FE, 1",23847516148970237,Nhóm quảng cáo mới,23847516149030237,Quảng cáo mới,4251040,VND,462752,9186.432474,776906,5471.755914,5721,743.058906,1.678882,127,6, ,1, , , ,4,2,1,3933,3934,2021-04-15,2021-05-14
mr.Đạt,23847516202670237,"Feaer ECO, LLTC, Kéo Shopee tuần lễ, Quốc FE, 3",23847516202700237,Nhóm quảng cáo mới,23847516202660237,Quảng cáo mới,4296449,VND,369696,11621.57286,550577,7803.538833,5777,743.716289,1.48927,127,1, ,5, ,2, ,3,4,1,3361,3361,2021-04-15,2021-05-14
mr.Đạt,23847516202640237,"Feaer ECO, LLTC, Kéo Shopee tuần lễ, Quốc FE, 4",23847516202690237,Nhóm quảng cáo mới,23847516202680237,Quảng cáo mới,4222523,VND,418403,10091.999818,749411,5634.455592,5150,819.907379,1.791122,90,1, ,1, , , ,2,3,1,3630,3630,2021-04-15,2021-05-14
mr.Đạt,23847516202650237,"Feaer ECO, LLTC, Kéo Shopee tuần lễ, Quốc FE, 4",23847516202630237,Nhóm quảng cáo mới,23847516202710237,Quảng cáo mới,3494132,VND,341153,10242.125967,533311,6551.771855,4300,812.588837,1.56326,112,3, ,2, , , ,2,1,3,2583,2583,2021-04-15,2021-05-14
mr.Đạt,23847572077160237,"Feaer Denim, LLTC, Kéo Lazada, Thiện 1",23847572077150237,Nhóm quảng cáo mới,23847572077170237,Quảng cáo mới,1940752,VND,74871,25921.277931,121946,15914.847555,2459,789.244408,1.6287479999999999,50,4, ,2, , , , ,2,50,1242,1242,2021-04-15,2021-05-14
